Sentiment,ID
1,1
1,2
2,3
1,4
1,5
1,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
3,15
3,16
2,17
2,18
2,19
2,20
2,21
2,22
2,23
3,24
3,25
3,26
3,27
3,28
3,29
3,30
3,31
2,32
2,33
2,34
2,35
2,36
2,37
2,38
2,39
2,40
3,41
3,42
2,43
3,44
3,45
2,46
2,47
2,48
2,49
2,50
2,51
3,52
3,53
3,54
3,55
2,56
2,57
2,58
2,59
2,60
2,61
2,62
2,63
2,64
2,65
2,66
2,67
2,68
2,69
2,70
2,71
2,72
2,73
2,74
2,75
2,76
2,77
2,78
2,79
2,80
1,81
2,82
2,83
2,84
2,85
2,86
2,87
2,88
2,89
2,90
2,91
3,92
3,93
2,94
2,95
2,96
2,97
2,98
2,99
2,100
2,101
2,102
2,103
2,104
2,105
2,106
2,107
2,108
2,109
4,110
4,111
2,112
2,113
2,114
2,115
2,116
2,117
2,118
2,119
2,120
2,121
2,122
2,123
2,124
2,125
2,126
2,127
2,128
2,129
2,130
2,131
2,132
2,133
2,134
2,135
2,136
2,137
2,138
2,139
2,140
2,141
2,142
2,143
3,144
3,145
3,146
2,147
2,148
2,149
1,150
2,151
2,152
2,153
1,154
2,155
2,156
2,157
2,158
2,159
2,160
1,161
1,162
1,163
1,164
2,165
2,166
2,167
2,168
2,169
1,170
1,171
2,172
2,173
2,174
2,175
2,176
2,177
2,178
2,179
2,180
2,181
2,182
3,183
3,184
2,185
2,186
3,187
2,188
2,189
3,190
3,191
3,192
2,193
3,194
3,195
2,196
2,197
2,198
2,199
2,200
2,201
1,202
2,203
2,204
3,205
3,206
2,207
2,208
2,209
2,210
3,211
2,212
3,213
3,214
3,215
3,216
3,217
1,218
2,219
2,220
2,221
2,222
2,223
2,224
2,225
2,226
3,227
2,228
2,229
2,230
1,231
1,232
1,233
1,234
1,235
2,236
2,237
2,238
2,239
2,240
2,241
1,242
1,243
1,244
1,245
1,246
1,247
3,248
3,249
3,250
3,251
2,252
2,253
2,254
2,255
2,256
2,257
2,258
2,259
2,260
2,261
2,262
2,263
2,264
2,265
2,266
2,267
2,268
2,269
2,270
2,271
2,272
3,273
3,274
2,275
2,276
2,277
2,278
2,279
2,280
2,281
2,282
2,283
2,284
2,285
2,286
2,287
2,288
2,289
2,290
2,291
2,292
2,293
2,294
2,295
2,296
3,297
2,298
2,299
2,300
3,301
3,302
2,303
2,304
2,305
3,306
2,307
2,308
3,309
2,310
2,311
2,312
2,313
2,314
2,315
2,316
2,317
2,318
2,319
2,320
2,321
2,322
2,323
2,324
1,325
1,326
1,327
1,328
1,329
2,330
2,331
2,332
2,333
2,334
2,335
2,336
2,337
2,338
2,339
2,340
3,341
3,342
2,343
3,344
2,345
2,346
2,347
2,348
2,349
3,350
3,351
3,352
3,353
3,354
3,355
3,356
2,357
2,358
3,359
3,360
2,361
2,362
2,363
2,364
2,365
2,366
2,367
2,368
2,369
2,370
2,371
3,372
2,373
2,374
3,375
2,376
2,377
2,378
2,379
2,380
2,381
2,382
2,383
2,384
2,385
2,386
2,387
2,388
2,389
2,390
2,391
2,392
2,393
2,394
2,395
2,396
2,397
2,398
2,399
2,400
2,401
1,402
2,403
2,404
3,405
2,406
2,407
2,408
2,409
1,410
1,411
1,412
1,413
1,414
2,415
3,416
3,417
2,418
1,419
2,420
2,421
2,422
3,423
2,424
2,425
2,426
2,427
2,428
2,429
2,430
2,431
2,432
2,433
2,434
2,435
2,436
2,437
2,438
2,439
2,440
2,441
2,442
2,443
2,444
2,445
2,446
2,447
2,448
2,449
2,450
2,451
2,452
2,453
2,454
2,455
2,456
2,457
2,458
2,459
2,460
2,461
2,462
2,463
2,464
2,465
2,466
2,467
1,468
2,469
2,470
2,471
2,472
2,473
2,474
2,475
2,476
2,477
2,478
2,479
2,480
2,481
2,482
2,483
1,484
2,485
2,486
2,487
3,488
1,489
2,490
2,491
2,492
2,493
2,494
2,495
2,496
3,497
3,498
3,499
3,500
2,501
2,502
2,503
2,504
2,505
3,506
3,507
3,508
2,509
1,510
1,511
1,512
1,513
2,514
1,515
2,516
2,517
2,518
2,519
2,520
2,521
2,522
2,523
2,524
2,525
2,526
2,527
2,528
2,529
2,530
2,531
2,532
2,533
2,534
2,535
2,536
2,537
2,538
2,539
2,540
2,541
2,542
2,543
2,544
2,545
2,546
2,547
2,548
2,549
2,550
2,551
2,552
2,553
2,554
2,555
2,556
2,557
1,558
1,559
2,560
2,561
2,562
1,563
1,564
2,565
2,566
2,567
2,568
1,569
1,570
3,571
1,572
1,573
1,574
1,575
1,576
2,577
1,578
2,579
2,580
2,581
2,582
2,583
2,584
2,585
2,586
2,587
2,588
2,589
3,590
2,591
2,592
3,593
3,594
3,595
3,596
2,597
2,598
2,599
2,600
2,601
2,602
2,603
2,604
2,605
2,606
2,607
2,608
3,609
2,610
2,611
3,612
3,613
3,614
2,615
3,616
3,617
3,618
3,619
2,620
2,621
2,622
3,623
2,624
3,625
2,626
2,627
3,628
3,629
3,630
3,631
3,632
3,633
2,634
2,635
3,636
2,637
2,638
2,639
3,640
3,641
3,642
3,643
3,644
3,645
1,646
1,647
1,648
3,649
3,650
3,651
2,652
2,653
2,654
2,655
2,656
2,657
2,658
2,659
3,660
4,661
4,662
3,663
3,664
3,665
3,666
1,667
2,668
2,669
2,670
2,671
2,672
2,673
2,674
2,675
2,676
1,677
1,678
1,679
1,680
2,681
1,682
1,683
2,684
2,685
2,686
2,687
2,688
2,689
2,690
2,691
3,692
2,693
2,694
2,695
2,696
2,697
2,698
2,699
2,700
2,701
2,702
2,703
2,704
2,705
2,706
2,707
2,708
2,709
2,710
2,711
2,712
2,713
2,714
2,715
2,716
2,717
2,718
2,719
2,720
2,721
2,722
2,723
2,724
2,725
2,726
2,727
2,728
2,729
2,730
2,731
2,732
2,733
2,734
2,735
2,736
2,737
2,738
2,739
2,740
2,741
2,742
2,743
2,744
2,745
2,746
2,747
2,748
2,749
2,750
2,751
2,752
2,753
2,754
2,755
2,756
1,757
1,758
1,759
1,760
2,761
2,762
1,763
2,764
2,765
2,766
2,767
1,768
2,769
2,770
2,771
2,772
2,773
2,774
1,775
1,776
1,777
1,778
1,779
1,780
1,781
2,782
2,783
2,784
2,785
2,786
2,787
2,788
2,789
2,790
2,791
1,792
2,793
2,794
2,795
2,796
2,797
2,798
3,799
2,800
2,801
2,802
3,803
3,804
3,805
2,806
2,807
2,808
2,809
4,810
4,811
3,812
3,813
4,814
4,815
1,816
2,817
1,818
1,819
1,820
1,821
1,822
1,823
3,824
3,825
1,826
2,827
2,828
3,829
2,830
2,831
2,832
2,833
2,834
2,835
2,836
2,837
3,838
1,839
2,840
1,841
1,842
1,843
3,844
2,845
2,846
2,847
2,848
2,849
2,850
1,851
2,852
2,853
2,854
1,855
1,856
2,857
2,858
2,859
2,860
2,861
2,862
1,863
3,864
2,865
3,866
3,867
3,868
3,869
2,870
2,871
2,872
1,873
1,874
3,875
1,876
1,877
1,878
2,879
2,880
2,881
2,882
2,883
2,884
2,885
2,886
2,887
2,888
2,889
2,890
2,891
2,892
2,893
2,894
2,895
2,896
2,897
2,898
2,899
2,900
2,901
2,902
2,903
2,904
2,905
2,906
2,907
2,908
2,909
2,910
2,911
2,912
2,913
2,914
2,915
3,916
3,917
2,918
2,919
2,920
2,921
2,922
2,923
2,924
3,925
3,926
3,927
3,928
3,929
2,930
2,931
2,932
2,933
2,934
2,935
2,936
2,937
2,938
2,939
2,940
2,941
2,942
2,943
2,944
3,945
2,946
3,947
3,948
3,949
3,950
1,951
1,952
3,953
3,954
1,955
2,956
2,957
2,958
2,959
2,960
2,961
2,962
2,963
2,964
2,965
2,966
2,967
2,968
2,969
2,970
2,971
2,972
2,973
2,974
2,975
2,976
2,977
2,978
2,979
2,980
2,981
2,982
2,983
3,984
3,985
2,986
2,987
2,988
2,989
3,990
2,991
3,992
2,993
2,994
3,995
2,996
2,997
2,998
2,999
2,1000
2,1001
2,1002
2,1003
2,1004
2,1005
2,1006
2,1007
2,1008
2,1009
2,1010
2,1011
2,1012
